内容▲,书籍 (作者),类型,位置,日期,
stubby,A Clash of Kings (George R. R. Martin),标注,222,2018/8/25 14:45,
grove.,A Clash of Kings (George R. R. Martin),标注,223,2018/8/25 14:46,
"Bryce the Orange, of the Rainbow Guard.” “The Rainbow",A Clash of Kings (George R. R. Martin),标注,225,2018/8/25 14:48,
raiment,A Clash of Kings (George R. R. Martin),标注,227,2018/8/25 14:49,
refusals?”,A Clash of Kings (George R. R. Martin),标注,232,2018/8/25 14:50,
"blunt,",A Clash of Kings (George R. R. Martin),标注,233,2018/8/25 14:50,
garrison,A Clash of Kings (George R. R. Martin),标注,236,2018/8/25 14:51,
burgundy,A Clash of Kings (George R. R. Martin),标注,237,2018/8/25 14:52,
Arbor.,A Clash of Kings (George R. R. Martin),标注,237,2018/8/25 14:52,
garrison,A Clash of Kings (George R. R. Martin),标注,238,2018/8/25 14:53,
cordon,A Clash of Kings (George R. R. Martin),标注,239,2018/8/25 14:53,
"hull,",A Clash of Kings (George R. R. Martin),标注,240,2018/8/25 14:54,
crammed,A Clash of Kings (George R. R. Martin),标注,240,2018/8/25 14:54,
butcher’s,A Clash of Kings (George R. R. Martin),标注,244,2018/8/25 14:55,
"cleaver,",A Clash of Kings (George R. R. Martin),标注,244,2018/8/25 14:55,
"boon,",A Clash of Kings (George R. R. Martin),标注,246,2018/8/25 14:56,
"draught,",A Clash of Kings (George R. R. Martin),标注,247,2018/8/25 14:56,
meager,A Clash of Kings (George R. R. Martin),标注,249,2018/8/25 14:57,
slab,A Clash of Kings (George R. R. Martin),标注,253,2018/8/25 14:58,
sawing,A Clash of Kings (George R. R. Martin),标注,255,2018/8/25 14:59,
jerkin,A Clash of Kings (George R. R. Martin),标注,259,2018/8/25 15:00,
breeches,A Clash of Kings (George R. R. Martin),标注,259,2018/8/25 15:00,
roughspun,A Clash of Kings (George R. R. Martin),标注,259,2018/8/25 15:01,
sinewy,A Clash of Kings (George R. R. Martin),标注,262,2018/8/25 15:02,
"limb,",A Clash of Kings (George R. R. Martin),标注,262,2018/8/25 15:02,
fringe,A Clash of Kings (George R. R. Martin),标注,263,2018/8/25 15:02,
whiskers,A Clash of Kings (George R. R. Martin),标注,265,2018/8/25 15:03,
drollest,A Clash of Kings (George R. R. Martin),标注,267,2018/8/25 15:03,
clenched,A Clash of Kings (George R. R. Martin),标注,268,2018/8/25 15:04,
grinding,A Clash of Kings (George R. R. Martin),标注,269,2018/8/25 15:05,
envoy,A Clash of Kings (George R. R. Martin),标注,274,2018/8/25 15:07,
cravenly,A Clash of Kings (George R. R. Martin),标注,276,2018/8/25 15:07,
"grievance,",A Clash of Kings (George R. R. Martin),标注,283,2018/8/25 15:09,
allegiance,A Clash of Kings (George R. R. Martin),标注,284,2018/8/25 15:09,
thieving,A Clash of Kings (George R. R. Martin),标注,289,2018/8/25 15:10,
brow.,A Clash of Kings (George R. R. Martin),标注,289,2018/8/25 15:10,
jests,A Clash of Kings (George R. R. Martin),标注,289,2018/8/25 15:10,
tourneys,A Clash of Kings (George R. R. Martin),标注,290,2018/8/25 15:10,
inflict,A Clash of Kings (George R. R. Martin),标注,291,2018/8/25 15:11,
"heedless,",A Clash of Kings (George R. R. Martin),标注,295,2018/8/25 15:12,
sup,A Clash of Kings (George R. R. Martin),标注,299,2018/8/25 15:13,
paltry,A Clash of Kings (George R. R. Martin),标注,300,2018/8/25 15:13,
Salladhor Saan,A Clash of Kings (George R. R. Martin),标注,301,2018/8/25 15:14,
tally,A Clash of Kings (George R. R. Martin),标注,301,2018/8/25 15:15,
caution,A Clash of Kings (George R. R. Martin),标注,301,2018/8/25 15:15,
mutters,A Clash of Kings (George R. R. Martin),标注,302,2018/8/25 15:15,
piously,A Clash of Kings (George R. R. Martin),标注,302,2018/8/25 15:15,
levies,A Clash of Kings (George R. R. Martin),标注,303,2018/8/25 15:16,
take his levies,A Clash of Kings (George R. R. Martin),标注,303,2018/8/25 15:16,
levies,A Clash of Kings (George R. R. Martin),标注,303,2018/8/25 15:17,
brooked,A Clash of Kings (George R. R. Martin),标注,305,2018/8/25 15:17,
starve,A Clash of Kings (George R. R. Martin),标注,312,2018/8/25 15:18,
feasted,A Clash of Kings (George R. R. Martin),标注,312,2018/8/25 15:19,
radishes.,A Clash of Kings (George R. R. Martin),标注,313,2018/8/25 15:19,
galloping,A Clash of Kings (George R. R. Martin),标注,316,2018/8/25 15:20,
"“Be that as it may, my lord,”",A Clash of Kings (George R. R. Martin),标注,317,2018/8/25 15:21,
"“Great wrongs have been done you, but the past is dust.",A Clash of Kings (George R. R. Martin),标注,318,2018/8/25 15:21,
betroth,A Clash of Kings (George R. R. Martin),标注,320,2018/8/25 15:22,
chagrined,A Clash of Kings (George R. R. Martin),标注,326,2018/8/25 15:24,
scowled.,A Clash of Kings (George R. R. Martin),标注,327,2018/8/25 15:24,
prominent,A Clash of Kings (George R. R. Martin),标注,328,2018/8/25 15:24,
fervent,A Clash of Kings (George R. R. Martin),标注,334,2018/8/25 15:26,
blazoned,A Clash of Kings (George R. R. Martin),标注,342,2018/8/25 15:28,
unfurls,A Clash of Kings (George R. R. Martin),标注,343,2018/8/25 15:29,
desolate,A Clash of Kings (George R. R. Martin),标注,344,2018/8/25 15:29,
follies,A Clash of Kings (George R. R. Martin),标注,350,2018/8/25 15:31,
“Fratricide…,A Clash of Kings (George R. R. Martin),标注,353,2018/8/25 15:31,
stiff,A Clash of Kings (George R. R. Martin),标注,356,2018/8/25 15:32,
erect.,A Clash of Kings (George R. R. Martin),标注,357,2018/8/25 15:32,
limped,A Clash of Kings (George R. R. Martin),标注,358,2018/8/25 15:32,
gaily,A Clash of Kings (George R. R. Martin),标注,359,2018/8/25 15:33,
donned,A Clash of Kings (George R. R. Martin),标注,361,2018/8/25 15:33,
oft,A Clash of Kings (George R. R. Martin),标注,361,2018/8/25 15:34,
fumbling,A Clash of Kings (George R. R. Martin),标注,367,2018/8/25 15:35,
"ointments,",A Clash of Kings (George R. R. Martin),标注,368,2018/8/25 15:36,
alchemists,A Clash of Kings (George R. R. Martin),标注,376,2018/8/25 15:38,
strangler.,A Clash of Kings (George R. R. Martin),标注,380,2018/8/25 15:39,
morsel,A Clash of Kings (George R. R. Martin),标注,381,2018/8/25 15:40,
ordeal,A Clash of Kings (George R. R. Martin),标注,385,2018/8/25 15:40,
tottered,A Clash of Kings (George R. R. Martin),标注,385,2018/8/25 15:41,
scooped them off the parchment. Cressen owned,A Clash of Kings (George R. R. Martin),标注,392,2018/8/25 17:18,
scooped,A Clash of Kings (George R. R. Martin),标注,392,2018/8/25 17:18,
myriad,A Clash of Kings (George R. R. Martin),标注,393,2018/8/25 17:18,
sewn,A Clash of Kings (George R. R. Martin),标注,393,2018/8/25 17:18,
secreted,A Clash of Kings (George R. R. Martin),标注,393,2018/8/25 17:19,
malevolent.,A Clash of Kings (George R. R. Martin),标注,399,2018/8/25 17:20,
maw.,A Clash of Kings (George R. R. Martin),标注,403,2018/8/25 17:21,
accompaniment,A Clash of Kings (George R. R. Martin),标注,404,2018/8/25 17:22,
raucous,A Clash of Kings (George R. R. Martin),标注,406,2018/8/25 17:23,
marred,A Clash of Kings (George R. R. Martin),标注,407,2018/8/25 17:23,
rushes,A Clash of Kings (George R. R. Martin),标注,410,2018/8/25 17:24,
comical,A Clash of Kings (George R. R. Martin),标注,410,2018/8/25 17:24,
sprawled,A Clash of Kings (George R. R. Martin),标注,411,2018/8/25 17:24,
dagged,A Clash of Kings (George R. R. Martin),标注,417,2018/8/25 17:28,
"unblemished,",A Clash of Kings (George R. R. Martin),标注,420,2018/8/25 17:29,
“The night is dark and full of terrors.”,A Clash of Kings (George R. R. Martin),标注,423,2018/8/25 17:30,
mantle,A Clash of Kings (George R. R. Martin),标注,436,2018/8/25 17:34,
swathed,A Clash of Kings (George R. R. Martin),标注,437,2018/8/25 17:34,
russet,A Clash of Kings (George R. R. Martin),标注,438,2018/8/25 17:35,
homely,A Clash of Kings (George R. R. Martin),标注,438,2018/8/25 17:35,
pious,A Clash of Kings (George R. R. Martin),标注,438,2018/8/25 17:35,
doublet,A Clash of Kings (George R. R. Martin),标注,439,2018/8/25 17:35,
sullen,A Clash of Kings (George R. R. Martin),标注,443,2018/8/25 17:36,
brittle,A Clash of Kings (George R. R. Martin),标注,448,2018/8/25 17:37,
motley,A Clash of Kings (George R. R. Martin),标注,453,2018/8/25 17:38,
gruffly.,A Clash of Kings (George R. R. Martin),标注,458,2018/8/25 17:39,
"the true Lord of the Seven Kingdoms, and King",A Clash of Kings (George R. R. Martin),标注,464,2018/8/25 17:50,
lumpy,A Clash of Kings (George R. R. Martin),标注,498,2018/8/25 18:09,
skittering,A Clash of Kings (George R. R. Martin),标注,500,2018/8/25 18:10,
plucked,A Clash of Kings (George R. R. Martin),标注,513,2018/8/26 7:44,
poachers,A Clash of Kings (George R. R. Martin),标注,516,2018/8/26 7:44,
fettered,A Clash of Kings (George R. R. Martin),标注,517,2018/8/26 7:45,
sores,A Clash of Kings (George R. R. Martin),标注,518,2018/8/26 7:49,
"the Wall: hides and bolts of cloth, bars of pig iron,",A Clash of Kings (George R. R. Martin),标注,519,2018/8/26 7:49,
bale,A Clash of Kings (George R. R. Martin),标注,520,2018/8/26 7:50,
plodding,A Clash of Kings (George R. R. Martin),标注,524,2018/8/26 7:55,
apprentice,A Clash of Kings (George R. R. Martin),标注,524,2018/8/26 8:00,
elbow.,A Clash of Kings (George R. R. Martin),标注,525,2018/8/26 8:00,
brayed,A Clash of Kings (George R. R. Martin),标注,525,2018/8/26 8:00,
sullenly.,A Clash of Kings (George R. R. Martin),标注,526,2018/8/26 8:01,
egged,A Clash of Kings (George R. R. Martin),标注,536,2018/8/26 8:03,
manacles,A Clash of Kings (George R. R. Martin),标注,540,2018/8/26 8:03,
shed,A Clash of Kings (George R. R. Martin),标注,543,2018/8/26 8:04,
laid,A Clash of Kings (George R. R. Martin),标注,551,2018/8/26 8:06,
whirled,A Clash of Kings (George R. R. Martin),标注,554,2018/8/26 8:07,
squealed,A Clash of Kings (George R. R. Martin),标注,555,2018/8/26 8:07,
stance,A Clash of Kings (George R. R. Martin),标注,559,2018/8/26 8:09,
"lunged,",A Clash of Kings (George R. R. Martin),标注,559,2018/8/26 8:09,
sprawled,A Clash of Kings (George R. R. Martin),标注,561,2018/8/26 8:09,
whapped,A Clash of Kings (George R. R. Martin),标注,561,2018/8/26 8:09,
prying,A Clash of Kings (George R. R. Martin),标注,562,2018/8/26 8:10,
thimble,A Clash of Kings (George R. R. Martin),标注,567,2018/8/26 8:11,
breeches,A Clash of Kings (George R. R. Martin),标注,568,2018/8/26 8:11,
“Unlace,A Clash of Kings (George R. R. Martin),标注,568,2018/8/26 8:11,
sigil,A Clash of Kings (George R. R. Martin),标注,573,2018/8/26 8:12,
"barley,",A Clash of Kings (George R. R. Martin),标注,588,2018/8/26 8:14,
squinted,A Clash of Kings (George R. R. Martin),标注,592,2018/8/26 8:15,
ripply,A Clash of Kings (George R. R. Martin),标注,592,2018/8/26 8:15,
yearned,A Clash of Kings (George R. R. Martin),标注,596,2018/8/26 8:16,
muss,A Clash of Kings (George R. R. Martin),标注,597,2018/8/26 8:17,
scuttling,A Clash of Kings (George R. R. Martin),标注,601,2018/8/26 8:18,
herald,A Clash of Kings (George R. R. Martin),标注,607,2018/8/26 8:19,
gown,A Clash of Kings (George R. R. Martin),标注,612,2018/8/26 8:21,
dogging,A Clash of Kings (George R. R. Martin),标注,616,2018/8/26 8:22,
lackwit,A Clash of Kings (George R. R. Martin),标注,617,2018/8/26 8:23,
"courteous,",A Clash of Kings (George R. R. Martin),标注,617,2018/8/26 8:23,
cordially.,A Clash of Kings (George R. R. Martin),标注,617,2018/8/26 8:23,
fabled,A Clash of Kings (George R. R. Martin),标注,625,2018/8/26 11:42,
pavilions,A Clash of Kings (George R. R. Martin),标注,626,2018/8/26 11:43,
pennants,A Clash of Kings (George R. R. Martin),标注,627,2018/8/26 11:43,
spectators,A Clash of Kings (George R. R. Martin),标注,636,2018/8/26 11:45,
paltry,A Clash of Kings (George R. R. Martin),标注,637,2018/8/26 11:45,
bracketed,A Clash of Kings (George R. R. Martin),标注,638,2018/8/26 11:46,
placid,A Clash of Kings (George R. R. Martin),标注,638,2018/8/26 11:46,
"refuge,",A Clash of Kings (George R. R. Martin),标注,639,2018/8/26 11:46,
negligently,A Clash of Kings (George R. R. Martin),标注,641,2018/8/26 11:47,
"brooch,",A Clash of Kings (George R. R. Martin),标注,643,2018/8/26 11:48,
curtly,A Clash of Kings (George R. R. Martin),标注,644,2018/8/26 11:49,
clad,A Clash of Kings (George R. R. Martin),标注,649,2018/8/27 0:27,
engulf,A Clash of Kings (George R. R. Martin),标注,650,2018/8/27 0:27,
dipping,A Clash of Kings (George R. R. Martin),标注,651,2018/8/27 0:27,
gallant,A Clash of Kings (George R. R. Martin),标注,653,2018/8/27 0:28,
"today,",A Clash of Kings (George R. R. Martin),标注,664,2018/8/27 0:30,
joust,A Clash of Kings (George R. R. Martin),标注,664,2018/8/27 0:30,
contempt.,A Clash of Kings (George R. R. Martin),标注,665,2018/8/27 0:30,
gnats.”,A Clash of Kings (George R. R. Martin),标注,665,2018/8/27 0:30,
blare,A Clash of Kings (George R. R. Martin),标注,668,2018/8/27 0:31,
revulsion,A Clash of Kings (George R. R. Martin),标注,670,2018/8/27 0:32,
herald,A Clash of Kings (George R. R. Martin),标注,671,2018/8/27 0:32,
caparisoned,A Clash of Kings (George R. R. Martin),标注,674,2018/8/27 0:33,
riding a black stallion caparisoned in burgundy,A Clash of Kings (George R. R. Martin),标注,674,2018/8/27 0:33,
burgundy,A Clash of Kings (George R. R. Martin),标注,674,2018/8/27 0:33,
caparisoned,A Clash of Kings (George R. R. Martin),标注,674,2018/8/27 0:33,
"revels,",A Clash of Kings (George R. R. Martin),标注,676,2018/8/27 0:34,
splinters,A Clash of Kings (George R. R. Martin),标注,678,2018/8/27 0:35,
"about at the far end of the lists, the knights tossed",A Clash of Kings (George R. R. Martin),标注,680,2018/8/27 0:35,
tossed,A Clash of Kings (George R. R. Martin),标注,680,2018/8/27 0:35,
resoundingly,A Clash of Kings (George R. R. Martin),标注,682,2018/8/27 0:36,
ornamented,A Clash of Kings (George R. R. Martin),标注,684,2018/8/27 0:36,
"oaf,”",A Clash of Kings (George R. R. Martin),标注,685,2018/8/27 0:37,
checkered,A Clash of Kings (George R. R. Martin),标注,690,2018/8/27 0:38,
hooted,A Clash of Kings (George R. R. Martin),标注,693,2018/8/27 7:43,
derision.,A Clash of Kings (George R. R. Martin),标注,694,2018/8/27 7:44,
"appalled,",A Clash of Kings (George R. R. Martin),标注,694,2018/8/27 7:44,
vengeful,A Clash of Kings (George R. R. Martin),标注,694,2018/8/27 7:44,
disentangled,A Clash of Kings (George R. R. Martin),标注,694,2018/8/27 7:44,
vanquishing,A Clash of Kings (George R. R. Martin),标注,696,2018/8/27 7:45,
bedecked,A Clash of Kings (George R. R. Martin),标注,696,2018/8/27 7:45,
feeble,A Clash of Kings (George R. R. Martin),标注,698,2018/8/27 7:45,
“Gnats.”,A Clash of Kings (George R. R. Martin),标注,698,2018/8/27 7:45,
"the service of Lord Baelish,” cried the herald.",A Clash of Kings (George R. R. Martin),标注,701,2018/8/27 7:46,
herald.,A Clash of Kings (George R. R. Martin),标注,701,2018/8/27 7:46,
dented,A Clash of Kings (George R. R. Martin),标注,701,2018/8/27 7:50,
duly,A Clash of Kings (George R. R. Martin),标注,702,2018/8/27 7:50,
"bridle,",A Clash of Kings (George R. R. Martin),标注,705,2018/8/27 7:58,
cask,A Clash of Kings (George R. R. Martin),标注,709,2018/8/27 8:00,
scowled.,A Clash of Kings (George R. R. Martin),标注,717,2018/8/27 8:01,
sows,A Clash of Kings (George R. R. Martin),标注,718,2018/8/27 8:01,
whit,A Clash of Kings (George R. R. Martin),标注,719,2018/8/27 8:01,
motley,A Clash of Kings (George R. R. Martin),标注,722,2018/8/27 8:05,
brush,A Clash of Kings (George R. R. Martin),标注,725,2018/8/27 8:05,
sobered,A Clash of Kings (George R. R. Martin),标注,725,2018/8/27 8:06,
revels,A Clash of Kings (George R. R. Martin),标注,726,2018/8/27 8:10,
haughtily.,A Clash of Kings (George R. R. Martin),标注,733,2018/8/27 8:11,
"quintain,",A Clash of Kings (George R. R. Martin),标注,734,2018/8/27 8:11,
chubby,A Clash of Kings (George R. R. Martin),标注,735,2018/8/27 8:11,
ornate,A Clash of Kings (George R. R. Martin),标注,740,2018/8/27 8:13,
sprouted,A Clash of Kings (George R. R. Martin),标注,740,2018/8/27 8:13,
frolicked,A Clash of Kings (George R. R. Martin),标注,741,2018/8/27 8:13,
brooded,A Clash of Kings (George R. R. Martin),标注,744,2018/8/27 8:14,
"vigorously,",A Clash of Kings (George R. R. Martin),标注,745,2018/8/27 8:14,
whack,A Clash of Kings (George R. R. Martin),标注,746,2018/8/27 8:15,
cantered,A Clash of Kings (George R. R. Martin),标注,747,2018/8/27 8:15,
derision,A Clash of Kings (George R. R. Martin),标注,748,2018/8/27 8:15,
giddy,A Clash of Kings (George R. R. Martin),标注,749,2018/8/27 8:15,
portcullis,A Clash of Kings (George R. R. Martin),标注,755,2018/8/27 8:16,
portcullis,A Clash of Kings (George R. R. Martin),标注,757,2018/8/27 8:17,
dinted,A Clash of Kings (George R. R. Martin),标注,758,2018/8/27 8:17,
haggard,A Clash of Kings (George R. R. Martin),标注,758,2018/8/27 8:17,
oddments,A Clash of Kings (George R. R. Martin),标注,760,2018/8/27 8:18,
bristly,A Clash of Kings (George R. R. Martin),标注,764,2018/8/27 8:19,
bulging,A Clash of Kings (George R. R. Martin),标注,766,2018/8/27 8:24,
brow,A Clash of Kings (George R. R. Martin),标注,766,2018/8/27 8:24,
squealing.,A Clash of Kings (George R. R. Martin),标注,771,2018/8/27 8:25,
trailed,A Clash of Kings (George R. R. Martin),标注,773,2018/8/27 8:25,
cur.”,A Clash of Kings (George R. R. Martin),标注,777,2018/8/27 8:26,
reflex,A Clash of Kings (George R. R. Martin),标注,797,2018/8/27 8:33,
grotesquerie.,A Clash of Kings (George R. R. Martin),标注,802,2018/8/27 8:34,
raiment,A Clash of Kings (George R. R. Martin),标注,806,2018/8/27 8:35,
shroud.,A Clash of Kings (George R. R. Martin),标注,806,2018/8/27 8:35,
dullard,A Clash of Kings (George R. R. Martin),标注,809,2018/8/27 8:36,
bode,A Clash of Kings (George R. R. Martin),标注,812,2018/8/27 8:37,
deign,A Clash of Kings (George R. R. Martin),标注,816,2018/8/27 8:37,
"A small victory, he thought, but sweet.",A Clash of Kings (George R. R. Martin),标注,819,2018/8/27 8:38,
sauntered,A Clash of Kings (George R. R. Martin),标注,824,2018/8/27 8:41,
"Jowly,",A Clash of Kings (George R. R. Martin),标注,832,2018/8/27 8:45,
destriers,A Clash of Kings (George R. R. Martin),标注,837,2018/8/27 8:53,
prancing?,A Clash of Kings (George R. R. Martin),标注,837,2018/8/27 8:54,
hospitality,A Clash of Kings (George R. R. Martin),标注,839,2018/8/27 8:54,
hilt,A Clash of Kings (George R. R. Martin),标注,841,2018/8/27 8:55,
"The king names the Hand, with the consent",A Clash of Kings (George R. R. Martin),标注,846,2018/8/27 8:56,
consent,A Clash of Kings (George R. R. Martin),标注,846,2018/8/27 8:56,
slithered,A Clash of Kings (George R. R. Martin),标注,849,2018/8/27 8:57,
unctuous,A Clash of Kings (George R. R. Martin),标注,849,2018/8/27 8:57,
woes,A Clash of Kings (George R. R. Martin),标注,850,2018/8/27 8:57,
"ponderously,",A Clash of Kings (George R. R. Martin),标注,851,2018/8/27 8:58,
steward,A Clash of Kings (George R. R. Martin),标注,851,2018/8/27 8:58,
dire,A Clash of Kings (George R. R. Martin),标注,855,2018/8/27 8:58,
intact.”,A Clash of Kings (George R. R. Martin),标注,859,2018/8/27 8:59,
folly,A Clash of Kings (George R. R. Martin),标注,860,2018/8/27 9:00,
"pincers,”",A Clash of Kings (George R. R. Martin),标注,865,2018/8/27 9:28,
"amiably,",A Clash of Kings (George R. R. Martin),标注,870,2018/8/27 9:33,
wretched,A Clash of Kings (George R. R. Martin),标注,879,2018/8/27 9:34,
grimaced.,A Clash of Kings (George R. R. Martin),标注,890,2018/8/27 9:36,
mob,A Clash of Kings (George R. R. Martin),标注,891,2018/8/27 9:36,
blithely,A Clash of Kings (George R. R. Martin),标注,892,2018/8/27 9:36,
profaned,A Clash of Kings (George R. R. Martin),标注,893,2018/8/27 9:37,
slew,A Clash of Kings (George R. R. Martin),标注,904,2018/8/27 9:39,
tractable,A Clash of Kings (George R. R. Martin),标注,910,2018/8/27 9:40,
inclined,A Clash of Kings (George R. R. Martin),标注,914,2018/8/27 9:41,
yanked,A Clash of Kings (George R. R. Martin),标注,922,2018/8/27 9:42,
slapped,A Clash of Kings (George R. R. Martin),标注,925,2018/8/27 9:51,
jesting,A Clash of Kings (George R. R. Martin),标注,928,2018/8/27 9:52,
"fortified,",A Clash of Kings (George R. R. Martin),标注,933,2018/8/27 9:54,
potent,A Clash of Kings (George R. R. Martin),标注,933,2018/8/27 9:54,
swilling,A Clash of Kings (George R. R. Martin),标注,933,2018/8/27 9:54,
oaf,A Clash of Kings (George R. R. Martin),标注,936,2018/8/27 9:55,
clambered,A Clash of Kings (George R. R. Martin),标注,937,2018/8/27 9:55,
clansmen,A Clash of Kings (George R. R. Martin),标注,944,2018/8/27 11:15,
